Experiment.ID	Trace.ID	date	channel	ROI	total.ROI.number	Area	Stimulation.after.frame	Time.for.requelibration	No.of.frames	Baseline	Mean.change	line.Fitted.change	Min.change	Max.change	time	value	value.SD	norm.value	norm.value.SD
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.2992E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	14220	4688.2427	1287.1857	0.9861	0.2707
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.2992E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	14400	4792.4072	1315.191	1.008	0.2766
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3440E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	14580	4667.6323	1280.3627	0.9817	0.2693
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.2992E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	14760	4742.478	1371.897	0.9975	0.2885
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.4016E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	14940	4634.6836	1297.4908	0.9748	0.2729
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3504E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	15120	4699.562	1348.2629	0.9885	0.2836
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3696E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	15300	4695.8833	1357.0984	0.9877	0.2854
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3248E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	15480	4670.8584	1354.2395	0.9824	0.2848
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3056E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	15660	4700.4497	1367.4763	0.9886	0.2876
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.2928E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	15840	4779.3267	1317.9928	1.0052	0.2772
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3696E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	16020	4710.0977	1376.2012	0.9907	0.2895
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3440E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	16200	4660.4253	1303.9929	0.9802	0.2743
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.11	19700101	CFP channel	11	23	5.3120E-6	11.0	1.0	160	4754.4591	-3.4771	0.8255	-10.9065	3.0352	16380	4693.5747	1345.5873	0.9872	0.283
